NOME_COMERCIAL,NOME_GENERICO,FABRICANTE,TIPO_PRODUTO
"AVOBENZONE, HOMOSALATE, OCTISALATE","Avobenzone, Homosalate, Octisalate","VI-JON, LLC",MEDICAMENTO ISENTO DE PRESCRIÇÃO
ALCOHOL FREE HAND SANITIZER,BENZALKONIUM CHLORIDE,"HAIAN KANGRUI TEXTILE CO., LTD.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
SUNSCREEN,TITANIUM DIOXIDE(NANO),"MINGYU (GUANGDONG) COSMETICS TECHNOLOGY CO., LTD",MEDICAMENTO ISENTO DE PRESCRIÇÃO
ARNIES MINERAL SUNSCREEN - BROAD SPECTRUM SPF 50 WITH ZINC OXIDE,Zinc oxide,GIMMIE BOTANICALS LLC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
WART REMOVER PATCHES,wart remover patches,"SHENZHEN HENGDASHENG TECHNOLOGY CO., LTD",MEDICAMENTO ISENTO DE PRESCRIÇÃO
QUETIAPINE FUMARATE,quetiapine,"UNIT DOSE SOLUTIONS, INC.",MEDICAMENTO SOB PRESCRIÇÃO
THIAMINE HYDROCHLORIDE,Thiamine Hydrochloride,EUGIA US LLC,MEDICAMENTO SOB PRESCRIÇÃO
ALLOPURINOL,Allopurinol,"CARDINAL HEALTH 107, LLC",MEDICAMENTO SOB PRESCRIÇÃO
FLUDROCORTISONE ACETATE,Fludrocortisone Acetate,"CARDINAL HEALTH 107, LLC",MEDICAMENTO SOB PRESCRIÇÃO
CYSTADROPS,cysteamine hydrochloride,"RECORDATI RARE DISEASES, INC.",MEDICAMENTO SOB PRESCRIÇÃO
DETROL,tolterodine tartrate,VIATRIS SPECIALTY LLC,MEDICAMENTO SOB PRESCRIÇÃO
MOUNJARO KWIKPEN,tirzepatide,ELI LILLY AND COMPANY,MEDICAMENTO SOB PRESCRIÇÃO
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,"SUN PHARMACEUTICAL INDUSTRIES, INC.",MEDICAMENTO SOB PRESCRIÇÃO
SECALE CORNUTUM,CLAVICEPS PURPUREA SCLEROTIUM,BOIRON,MEDICAMENTO ISENTO DE PRESCRIÇÃO
MEDICATED CORN REMOVERS,Salicylic acid,"FAMILY DOLLAR SERVICES, INC",MEDICAMENTO ISENTO DE PRESCRIÇÃO
BKEMV,eculizumab-aeeb,AMGEN INC,MEDICAMENTO SOB PRESCRIÇÃO
CELECOXIB,celecoxib,QUALITY CARE PRODUCTS LLC,MEDICAMENTO SOB PRESCRIÇÃO
DRAINER,"Cynara scolymus, Solidago virgaurea, Taraxacum officinale, Benzoicum acidum, Berberis vulgaris, Bryonia, Cantharis, Carduus benedictus, Carduus marianus, Ceanothus americanus, Chelidonium majus, Chionanthus virginica, Cinchona officinalis, Dioscorea villosa, Dolichos pruriens, Iris versicolor, Juniperus communis, Nux vomica, Ptelea trifoliata, Taraxacum officinale, Uricum.","NEWTON LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
SIMPLY CLEAN DANDRUFF,Pyrithione Zinc,OLD EAST MAIN CO.,MEDICAMENTO ISENTO DE PRESCRIÇÃO
SLEEP AID,Diphenhydramine HCL,"DOLGENCORP, INC. (DOLLAR GENERAL & REXALL)",MEDICAMENTO ISENTO DE PRESCRIÇÃO
IBUPROFEN,Ibuprofen,PUBLIX SUPER MARKETS INC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
SARCOLACTICUM ACIDUM,"LACTIC ACID, L-",BORION,MEDICAMENTO ISENTO DE PRESCRIÇÃO
D-88,"Cocculus indicus, natrum muriaticum, Helonias dioica, Calcarea phosphoricum, Ignatia amara, Magnesia phosphoricum, Cimicifuga racemosa, Passiflora incarnata, Valeriana officinalis, Sepia, Kalium phosphoricum, Zincum metallicum, Pituitary, Adrenal, Ovarian","DNA LABS, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
G-57,TILIA TOMENTOSA BUD and FICUS CARICA FLOWER BUD,"DNA LABS, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
ROFLUMILAST,Roflumilast,MAJOR PHARMACEUTICALS,MEDICAMENTO SOB PRESCRIÇÃO
DOXORUBICIN HYDROCHLORIDE,Doxorubicin Hydrochloride,PFIZER LABORATORIES DIV PFIZER INC,MEDICAMENTO SOB PRESCRIÇÃO
DIGOXIN,Digoxin,"MARLEX PHARMACEUTICALS, INC.",MEDICAMENTO SOB PRESCRIÇÃO
GUAIFENESIN 200MG,Guaifenesin,MARLEX PHARMACEUTICALS INC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
OXY 3-IN-1 ACNE CLEANSING PADS,Salicylic acid 2%,THE MENTHOLATUM COMPANY,MEDICAMENTO ISENTO DE PRESCRIÇÃO
URSODIOL,Ursosiol,"KVK-TECH, INC.",MEDICAMENTO SOB PRESCRIÇÃO
AIR,Air,"MEDICAL-TECHNICAL GASES, INC.",MEDICAMENTO SOB PRESCRIÇÃO
OXY TOTAL CARE VITAMIN C SERUM,salicylic acid,THE MENTHOLATUM COMPANY,MEDICAMENTO ISENTO DE PRESCRIÇÃO
AQUA PROTECTION SUNSCREEN BROAD SPECTRUM SPF50,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE","ENGLEWOOD LAB, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
INFLUENZINUM,INFLUENZINUM,"RXHOMEO PRIVATE LIMITED D.B.A. RXHOMEO, INC",MEDICAMENTO ISENTO DE PRESCRIÇÃO
ETODOLAC,Etodolac,"TEVA PHARMACEUTICALS USA, INC.",MEDICAMENTO SOB PRESCRIÇÃO
CILOSTAZOL,Cilostazol,"TEVA PHARMACEUTICALS USA, INC.",MEDICAMENTO SOB PRESCRIÇÃO
ESTEE LAUDER DOUBLE WEAR SHEER LONG-WEAR MAKEUP BROAD SPECTRUM SPF 19,OCTINOXATE and TITANIUM DIOXIDE,ESTEE LAUDER INC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
DAYTIME COLD AND COUGH AND NIGHTTIME COLD AND CONGESTION CHILDRENS,"Brompheniramine Maleate, Dextromethorphan HBr, Phenylephrine HCl, Diphenhydramine HCl, Phenylephrine HCl",TARGET CORPORATION,MEDICAMENTO ISENTO DE PRESCRIÇÃO
UP AND UP NIGHTTIME FLU AND SEVERE COLD AND COUGH,"Acetaminophen, Diphenhydramine hydrochloride, and Phenylephrine hydrochloride",TARGET CORPORATION,MEDICAMENTO ISENTO DE PRESCRIÇÃO
SUGARED LEMON HAND SANITIZER,ALCOHOL,TARGET CORPORATION,MEDICAMENTO ISENTO DE PRESCRIÇÃO
ALLERGY RELIEF,Diphenhydramine HCl,RITE AID CORPORATION,MEDICAMENTO ISENTO DE PRESCRIÇÃO
RITE AID POVIDONE IODINE,Povidone Iodine 10%,RITE AID CORPORATION,MEDICAMENTO ISENTO DE PRESCRIÇÃO
HALLS STRAWBERRY,Menthol,MONDELEZ GLOBAL LLC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
ARIPIPRAZOLE,aripiprazole,TORRENT PHARMACEUTICALS LIMITED,MEDICAMENTO SOB PRESCRIÇÃO
SE-NATAL 19,".beta.-carotene, ascorbic acid, cholecalciferol, .alpha.-tocopherol acetate, dl-, thiamine, riboflavin, niacinamide, pyridoxine hydrochloride, folic acid, cyanocobalamin, calcium pantothenate, calcium carbonate, ferrous fumarate, zinc oxide and docusate sodium",SETON PHARMACEUTICALS,MEDICAMENTO SOB PRESCRIÇÃO
OFLOXACIN,Ofloxacin,BAUSCH & LOMB INCORPORATED,MEDICAMENTO SOB PRESCRIÇÃO
CHLORZOXAZONE,CHLORZOXAZONE,"CINTEX SERVICES, LLC",MEDICAMENTO SOB PRESCRIÇÃO
DILTIAZEM HYDROCHLORIDE,diltiazem hydrochloride,"UPSHER-SMITH LABORATORIES, LLC",MEDICAMENTO SOB PRESCRIÇÃO
HEPARIN SODIUM,Heparin Sodium,SAGENT PHARMACETICALS,MEDICAMENTO SOB PRESCRIÇÃO
QUININE SULFATE,Quinine Sulfate,"TEVA PHARMACEUTICALS USA, INC.",MEDICAMENTO SOB PRESCRIÇÃO
AZACITIDINE,Azacitidine,ACCORD HEALTHCARE INC.,MEDICAMENTO SOB PRESCRIÇÃO
BENZPHETAMINE HYDROCHLORIDE,BENZPHETAMINE HYDROCHLORIDE,"CALVIN SCOTT & CO., INC.",MEDICAMENTO SOB PRESCRIÇÃO
CHILDRENS CETIRIZINE HYDROCHLORIDE,Cetirizine HCl,ATLANTIC BIOLOGICALS CORP.,MEDICAMENTO ISENTO DE PRESCRIÇÃO
DOG EPITHELIA,Canis lupus familiaris,"GREER LABORATORIES, INC.",ALERGÊNICO NÃO PADRONIZADO
ARIZONA FREMONT COTTONWOOD POLLEN,Populus fremontii,"GREER LABORATORIES, INC.",ALERGÊNICO NÃO PADRONIZADO
RED MAPLE POLLEN,Acer rubrum,"GREER LABORATORIES, INC.",ALERGÊNICO NÃO PADRONIZADO
SIGNATURE CARE ACID REDUCER COMPLETE,"Famotidine, Calcium Carbonate, Magnesium Hydroxide",SAFEWAY,MEDICAMENTO ISENTO DE PRESCRIÇÃO
ANTIMICROBIAL SKIN CLEANSER,Chlorhexidine Gluconate 2% Solution,"GOJO INDUSTRIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
SHELLBARK HICKORY POLLEN,Carya laciniosa,"GREER LABORATORIES, INC.",ALERGÊNICO NÃO PADRONIZADO
CLADOSPORIUM HERBARUM,Cladosporium herbarum,"GREER LABORATORIES, INC.",ALERGÊNICO NÃO PADRONIZADO
CENTRAL EASTERN 4 TREE POLLEN MIX,"Ulmus americana, Acer negundo, Carya illinoinensis and Quercus virginiana","GREER LABORATORIES, INC.",ALERGÊNICO NÃO PADRONIZADO
ISOPROTERENOL HYDROCHLORIDE,Isoproterenol Hydrochloride,HERITAGE PHARMACEUTICALS INC. D/B/A AVET PHARMACEUTICALS INC.,MEDICAMENTO SOB PRESCRIÇÃO
CARDUUS MARIANUS,Carduus Marianus,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
CHROMIUM PHOSPHORICUM,Chromium Phosphoricum,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
CUPRUM OXYDATUM NIGRUM,Cuprum Oxydatum Nigrum,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
KALI MURIATICUM,Kali Muriaticum,"HAHNEMANN LABORATORIES, INC.",MEDICAMENTO ISENTO DE PRESCRIÇÃO
OXYBUTYNIN CHLORIDE,Oxybutynin Chloride,AJANTA PHARMA USA INC.,MEDICAMENTO SOB PRESCRIÇÃO
TOPIRAMATE,topiramate,"UNICHEM PHARMACEUTICALS (USA), INC.",MEDICAMENTO SOB PRESCRIÇÃO
KROGER CHERRY COUGH DROPS,Menthol,KROGER,MEDICAMENTO ISENTO DE PRESCRIÇÃO
NICOTINE,nicotine polacrilex,KROGER COMPANY,MEDICAMENTO ISENTO DE PRESCRIÇÃO
LIDOCAINE HYDROCHLORIDE,Lidocaine hydrochloride,"CAMBER PHARMACEUTICALS, INC.",MEDICAMENTO SOB PRESCRIÇÃO
ACITRETIN,Acitretin,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,MEDICAMENTO SOB PRESCRIÇÃO
ZINC SULFATE,ZINC SULFATE,"CAMBER PHARMACEUTICALS, INC.",MEDICAMENTO SOB PRESCRIÇÃO
VALGANCICLOVIR,Valganciclovir,"CAMBER PHARMACEUTICALS, INC.",MEDICAMENTO SOB PRESCRIÇÃO
NEBIVOLOL,Nebivolol,MACLEODS PHARMACEUTICALS LIMITED,MEDICAMENTO SOB PRESCRIÇÃO
LAMOTRIGINE,LAMOTRIGINE,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,MEDICAMENTO SOB PRESCRIÇÃO
NALOXONE HYDROCHLORIDE,NALOXONE HYDROCHLORIDE,BAXTER HEALTHCARE CORPORATION,MEDICAMENTO SOB PRESCRIÇÃO
HANDSOAP,Benzalkonium chloride,TOPCO ASSOCIATES LLC,MEDICAMENTO ISENTO DE PRESCRIÇÃO
DAWN ULTRA ANTIBACTERIAL HAND APPLE BLOSSOM SCENT,Chloroxylenol,THE PROCTER & GAMBLE MANUFACTURING COMPANY,MEDICAMENTO ISENTO DE PRESCRIÇÃO
IDARUBICIN HYDROCHLORIDE,Idarubicin Hydrochloride,HIKMA PHARMACEUTICALS USA INC.,MEDICAMENTO SOB PRESCRIÇÃO
